Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
676,1,0.5229,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",menurut bg david poco f pro dengan harga promo jt worth it atau ada rekomendasi untuk hp di harga yang sama tolong jawabannya bg
677,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kalau kata gw mending iqoo
678,4,0.9165,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco mencoba peruntungan di kelas flagshipnya tp sayang kureng bgt dari segi design dan os nya juta masih kena iklan brand sebelah di harga yg sama punya os yg lebih matang
679,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",redmi poco sdh gk terjangkau lg skrg
680,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",konten misteri box kapan bang
681,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",juta ada iklannya wkwk
682,4,0.7761,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bang david poco f regular infonya jadi rilis nggak
683,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",desain kamera shareit
684,2,0.5576,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",review huawei mate triple fold kapan nih bang
685,2,0.8189,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",ga keliatan hp mahalll wkwkwk
686,4,0.8303,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",ini hp bagussilakan kalian belisaya jg mungkin klo ada duit jt nganggur bakal belitapi ingat jngn jadikan hp xiaomi sebagai hp utamaiklan di hp xiaomi emang bikin ga nyamanudah ikut tutor dr yt dr grup buat ilangin iklan tetep ga workya jd nya skrng hp xiaomi saya cuma buat game sma sosmed ajakalo hp utama tetep pake sumsang
687,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",mahal tapi usb kapan bisa display out yah
688,3,0.5195,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",penyepong poco pada panas dibilanghp mahal kok ada iklannya
689,4,0.5577,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bang saran hp yang kamera nya bagus
690,4,0.8254,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",xiaomi bingung naro harga ini ditaro jt bakal makan pasarnya t soalnya tapi secara spec udah ngejar ke jadi ini positioningnya antara t dan tapi sayang banget kalo masih ada iklannya di harga segini
691,4,0.4803,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kali ini poco gak ngelibas siapapun kecuali kalo harganya di max jtan cmiiw
692,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",baru jg beli xiaomi ultra eh dia keluar
693,0,0.5601,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",ga berasa buzzer xiaomi sudah banyak
694,5,0.5293,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bg review hp inoi dari pabrikan eropa yang katanya jt an udah dapet rom gb
695,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",aduh poco blunder
696,5,0.6935,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",hp aneh
697,3,0.6557,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",seri f terburuk menurut gua juta mending hp yg lain timbang poco f
698,1,0.4208,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",nambah dikit mending xiaomi lebih cakep
699,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",udah bukan poco lagi
700,4,0.9732,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",packaging nya kaya hp poco kelas yg biasanya ma design nya ya poco biasanya ga kaya flagship apalagi ada iklan hadeh ini mah ga sesuai harga bukan poco sebenarnya klw liat harganya
701,2,0.6299,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",next bang review honor pro kalo di bandingkan dengan oppo reno pro mending mana
702,0,0.8935,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",akhirnya saring gan disebut sesuai apa yg saya fikir kan
703,4,0.5234,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",gak ada habisnya hp jaman skrg
704,3,0.4972,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",masih setia sama iqoo
705,4,0.7564,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",sebaiknya poco jual hp khusus iklan series forever biar poco series lain tak terganggu
706,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ada iklannya ada iklannya ada iklannyaaaa
707,5,0.7238,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",udah ngerasain emang mantep banget kopi kapal api
708,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mending iqoo
709,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",kapal api kobong
710,3,0.8466,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",hi ko coba bahas mengenai app lock features masa udah di lock apps nya tapi tetap bisa uninstall dgn bypass fingerprintspassword kalo anak or kita yg dewasa tidak sengaja kehapus tanpa ada perlindungan lock appsnya padahal sudah di aktifkan fitur lock di selected apps hyperos no hope
711,5,0.5968,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang kalo test video di zoom juga sampe mentok
712,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",wow
713,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ko masih ada iklan aja
714,1,0.9274,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",saya tidak terlalu suka desain back door yg dual tone
715,3,0.8716,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",gaskeun battle sama iqoo bang
716,0,0.9433,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",f ultra kalah adem ketahanan batre ama limit dikit
717,1,0.8664,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",atsumu_ mendingan iqoo ya
718,3,0.9466,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iqoo lahbeda kelas poco f ultra di harga sgitu ada iklanaldimaulana
719,0,0.9802,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",atsumu_ bener yang paling kerasa itu gak ada direct charging padahal orang beli poco sama iqoo pasti ngincer budget gaming tapi masih dapet performance untuk harga juga udah murahan iqoo klo sekarang klo bandingin sama harga release awal iqoo memang lebih mahal
720,5,0.6932,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",yoialdimaulana
721,2,0.4292,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",gak dual speaker jt
722,4,0.945,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bang skali skali pas seruputnya shot cam nya dri atas kepo bang
723,0,0.9613,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",seri sebelumnya kualitas perjabat harga merakyat sekarang kualitas penjabat harga penjabat ntah kabar baik atau buruk
724,3,0.9636,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",versi pro dan ultra kok disamain harganya ama yang seri poco f bassic lucu bgt luh
725,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",ngerii
726,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ky hape jutaan
727,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",cocok di harga mid range f ultra
728,2,0.5578,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",apapun tipe hp nya kalo masih android ya android aja well
729,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poco tetaplah poco
730,3,0.8998,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",gilak jt disuruh nonton iklan
731,3,0.8864,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",itu iklanya kan hanya aplikasi poconya ya kayak download wallpaper tema tulisan yang miring miring apa kalau pas di instal temanya keluar iklan gitu kah aku gak paham saya pakai xiaomi t gak ada iklan soalnya pas download tema walpaper dan lain lain
732,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kaget gua bang
733,4,0.4649,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",sekelas jt kamera k nya masih berasa jiter nya
734,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",yg heran penyepong poco masi ngebela
735,5,0.9365,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang david test game tambahin warzone game terberat sekarang
736,1,0.6957,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",viiiiiiiiiiiiiiiiiiiiiiiiiiiiiddddddddd
737,3,0.6441,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",juta ada iklan mending kingfinixxx aja
738,3,0.558,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",gw ga beli poco lagi bukan karena iklannya tapi karena matotnya
739,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",digeber game gk pake cooler pasti
740,0,0.8106,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",dah basi
741,0,0.6205,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",gw jga jera pake samsung karena kasus meledaknya
742,4,0.8679,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",iklannya deal breaker banget wkwk jt
743,4,0.9378,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",buat tampilan bagusan poco f gt dan buat hp poco jtan harusnya ada tombol trigger
744,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklan mah udah bisa di akalin
745,2,0.9164,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",speaak dewasa entry level untuk gameee
746,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
747,3,0.5886,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",waduh ois ngaco kaya x pro setiap langkah ada kedutkedutan
748,2,0.6788,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang kapang reviu v lite di tunggu bang
749,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",semakin yakin untuk beli ini kapal apinya
750,0,0.6184,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang david bahas laptop recommended bang sesuai budget
751,1,0.5216,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",gak ngotak pocoharusnya jt an hp kayak gini malah dijual jt an iklan bisa di ilangin jadi lu beli hp harus ngerti lahh
752,1,0.8956,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",yg w untuk di ambil apa bg nedved ato zidane
753,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",mending rog njir
754,4,0.5448,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",better ip sih soalnya poco harga itu masih ada illan nambah dikit dapet
755,3,0.4294,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",sekali review soundcard dong bang
756,5,0.3148,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",iklan bisa diilangin manual
757,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",apa masih ingat poco f gt yg harganya tapi masih ada iklannya
758,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kamera mangekyou sharingan jirlah
759,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",sayangnya layar belum ltpo kalau udah gak diragukan lagi bakal jadi jt an terbaik
760,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",gua x biasa aja ga ada iklan sama sekali
761,3,0.7219,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklan no esim panas over price
762,1,0.8664,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kapan ya ada hp yg support ray tracing
763,3,0.9303,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",alhamdullah udah beli tinggal nunggu besok dapet di rp
764,4,0.9829,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",ayolah lu pda tau gak pocoredmixiaomi itu untung dari penjualan hp nya cmn sdikitt iklan nya cmn ada di aplikasi bawaan doang saya pikir itu ga ngeganggu ya klau klian berpikir itu mengganggu apa bleh buat tpi emg untung poco itu kbanyakan dri iklann
765,4,0.7421,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",david lagi menggiring opini penonton agar hape mahal jenis keluarga xiomi ga ngasih iklan
766,1,0.8664,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",berani sekali poco hh sama iqoo
767,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bagian belakang mirip infinix note
768,5,0.5849,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",cobain bang produk baru inoi a
769,5,0.4819,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",besok mau beli kapal api satu sachet
770,3,0.8217,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",kesimpulan nya davit untuk hp ini b aja
771,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bentuk kameranya kaya mata sharingan
772,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",juta
773,5,0.6932,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",mirip vio x
774,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",gadgetin reviewnya selalu ketinggalan
775,0,0.9775,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",hp ampas gampang penyakitan sana dah beli o buat konten kreator daily driver vloger beli donk pocong phone setau ane belum ada yang beli pocong phone buat daily vloger
776,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang review oppo a pro
777,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mirip infinix note banget
778,1,0.8665,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mending apa mending iqoo
779,2,0.6636,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",review poco mpro pengen beli soalnya
780,5,0.4971,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",wuthering wave kapan masuk test game di kanal ini
781,3,0.6905,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",kalah sama seri t nya xiaomi yang lebih murah malah gk ada iklan nya kwkw
782,1,0.9274,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",ini ni asli kita mencari yang terbaik bukan yang termahal iphong menepi
783,2,0.8696,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",mantap bang udah jt aje nihhhhhh
784,5,0.9365,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",knp ga pake kapal api yang udah ada logo umrohnya bang dav
785,5,0.6481,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",setelah gw beli poco f gw sadar mending beli handheld gaming
786,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang bahas hp meizu infinity dong
787,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",review unihertz tank pro bang
788,2,0.6539,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang bahas vivo v lite g pliss mau beli takut salah
789,4,0.4287,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",suhunya derajat
790,4,0.8679,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",derajatempat puluhempat satu bukan empat ratus empat satu
791,0,0.7869,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bukan juta bedanya dgn x pro beda juta bos
792,4,0.6995,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",mirip sharingan
793,3,0.8998,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",masih usb type c padahal harganya mahal
794,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
795,4,0.9283,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kenapa poco itu kebanyakan fokus kameranya sering cenat cenut ya
796,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",apakah masih gacha
797,3,0.8997,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",jgn nilai sampul dari bukunya bang
798,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
799,3,0.8217,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bang unboxing xiaomi mi bang
800,3,0.4319,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",xiaomi gmn
801,0,0.8888,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",snapdragon elite ai engine sr sfr wifi hyperos cameras poco shield glass iklan design sesuai selera material design aaa mobile gaming rata kanan lah ya aktifitas luring jepretjepret ok menurut gw si ni low budget buat mau nyicip snapdragon elite xd
802,5,0.8129,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",untuk saat ini gw cuma mampu beli kopi nya
803,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bahas poco m pro
804,3,0.9739,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iklan itu mah gampang bgt yg katanya ribet bayar mahal buat otak atik lg itu mah orgny yg ngak smart smartphone with dumbguys kidding haha
805,2,0.6969,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",ni hp bukan cuman minus gr gr iklanusb nya masih terus kamera belum optimaldesign ngakak jt untuk agak nanggung
806,4,0.6377,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",eliminytofficial betul bg harusnya jgn ngomel soal iklan aja gw baca komen yg ngomongin soal iklan tok padahal msh bnyk yg hrs diperhatiin
807,2,0.8189,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",raelynndn nahh
808,4,0.9378,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bagusan dari t pro sih tapi jt mahal emang kaya buat gaming tapi cameranya masih bagus
809,5,0.4768,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",back covernya mirip tecno spark pro plus
810,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kenapa desain body poco tidak mengenakkan mata
811,2,0.5098,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang david review infinix note pro dong kan lalu baru yang note pro
812,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
813,5,0.9137,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",coba tes pake wuthering waves bang
814,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",x pro hadir ketua
815,3,0.9604,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",kocak yg msh bilang xiaomi ada iklandr dulu bisa dihilangin iklannya kocak maknya pinter dikit
816,1,0.5862,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",body belakang mirip power bank
817,2,0.9386,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bg review rog phone fe bg pengen beli takut gak enak
818,3,0.8217,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",intinya bagus atau gk
819,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",agak kurang dibandingkan dengan yang selevel
820,4,0.8679,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",eliminytofficial apanya yg selevel
821,0,0.954,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",calvin ya hp yang selevel kayak iqoo mirip tuh harga nyaiqoo menang banyak dripada f ultra
822,4,0.639,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kenapa kamera hp sekarang semua nya bentuk nya bulat gitu
823,1,0.9444,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",trend saat ini kemaren kan kotak kotak yang sudut halus melingkar dll
824,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
825,3,0.7076,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ada e simnya ga
826,3,0.5553,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",iuh jt iklan mending ip
827,4,0.8165,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco f regular
828,5,0.8128,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",masih pakai ufs ya
829,0,0.8106,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",omagad poko
830,4,0.5735,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bagusan poco f ultra atau iqoo
831,1,0.696,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",iqoo
832,5,0.9545,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",ngeliat david review sambil ngopi saya malah pause videonya terus bikin kopi kapal api juga
833,2,0.8189,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poconya beraksi
834,0,0.8415,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",sekencang apapun chipset xiaomi dan poco selama system nya aja joyose pasti kena limit performa nya
835,0,0.4775,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",kayanya kalau kolaborasi dengan naruto cocok sih spesial mata sharingan di kameranya
836,3,0.724,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ada iklan mah sampah udah gk worth it hrga segitu
837,5,0.8128,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",waduh inisialnya samsung bukan bang
838,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",waduh nyindir brand gede nih
839,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",skip over price
840,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",apakah ada yang lebih murah dari ini tapi spek sama
841,2,0.9165,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tim yg beli doang nonton kagak
842,3,0.8717,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",xiaomi gua aja ada iklannya wkwkwk
843,5,0.9268,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",konten ini lebih menarik sruput kopi kapal apinya
844,3,0.9567,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ga nyangka ama harganya di negara tetangga juga harga segitu kirain di negara kita bakalan di kisaran jt
845,4,0.8842,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",fyi iqoo aja harus ngorbanin kamera periskop dari seri sebelumnya buat bawa elite kayanya emang ini chipsetnya termasuk mahal jadi wajar kalau harga diatas
846,1,0.9858,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",alanmaulana iya sih cuman rada kaget aja gitu soalnya dari dulu poco kan selalu bikin kaget kalo soal harga disaat konpetitiornya mahal dia doang yg selalu dibawah harga kompetitor padahal di kelas yg sama malah secara performa lebih unggul udah gitu dibanding harga sama negara lain di indonesia selalu juga dibawahnya taun ini doang poco f ultra juga bikin kaget harganya
847,1,0.9588,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",di malaysia jauh lebih mahalgak worth it mepet mi juta mah mission impossible tebakan saya awalnya harga sama dengan t pro
848,0,0.7419,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",doom poco aja baru ngeluarin yang seri pro dan ultra harga miring taun kemarin juga karena poco seri f basic yang keluar sekali pro dan ultra keluar pada g terima aneh emang
849,3,0.7413,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",skip dah beli klo bnyak iklan
850,1,0.7254,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kurang rasanya kalo habis seruput kopi ga bilang ahh
851,0,0.6363,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",mending iqoo ga sihnambah dikit hehe
852,2,0.6095,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",sumpah baru mau ngomong kayak sharingan langsung disebut
853,2,0.819,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",jt mantap jiwa
854,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",
855,5,0.5077,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",mending pilih samsung bebassss iklan
856,2,0.6463,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",semoga poco gak senasib kayak oneplus yg dulu berjanji jadi flagship killer malah berujung flagship itu sendiri semoga next poco f series harganya balik kisaran jt karena kisaran jt udh diisi iqoo
857,2,0.794,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang andaikan ini masuk kategori juta edisi lebaran kemarin ambil ini apa t pro
858,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",flagshipnya poco masih ada iklannya
859,0,0.7547,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",ini alasan aku selalu beli hp pocokarna ada iklannyajadi si poco bisa ngasih subsidi harga lebih murah sengaja aku hidupkan iklan nya biar subsidi si poco makin brutalbiar brand lain pada mlongo
860,0,0.5531,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",hahah masih jiter video nya
861,5,0.9545,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",sewot banget masalah iklankalian nonton youtube yang banyak iklan dtengah video tapi gag sewot anda waras
862,0,0.926,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",cuma inject perangkat lunak saja sudah lolos tkdn yassalam
863,4,0.9508,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",jelek amat kameranya modelnya kaya apa gede banget lingkarannya buset padahal materialnya udh perfek
864,5,0.5095,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",emang harus di kritik dulu sama bang david soal iklan di hp xiaomi baru dihilangkan itu iklan kalo gak dikritik kaga bakalan hilang itu iklan
865,0,0.5031,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bahkan samsung seri a paling rendah pun tertawa melihat ini saya baru beli samsung a untuk nyokap pas install ini itu saya tidak menemukan iklan lah ini poco baca xiaomi versi ultra masih ada iklan hahahahahahahaha
